id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
3551207,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3551306,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3552908,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3554904,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3554953,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3555356,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3556107,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
3556958,Atendido,2008,TELESP,Fibra + SDH-NG,8,0,8
1200252,Atendido,2008,BRASILTELECOM FILIAL/AC,Rádio,8,4,4
1700251,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703073,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703826,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1703891,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1705102,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1706258,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1708304,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1712157,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1712454,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1715507,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1717206,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1718659,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1718808,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1718899,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1720101,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
1720200,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1720853,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1721257,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
2201919,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2202059,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2202091,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2202133,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2202539,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2202729,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2203255,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2203859,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2204352,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2204600,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2205276,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2205581,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2205599,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2206050,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2206696,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2206753,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2207108,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
2207553,Atendido,2008,TELEMAR/PI,Rádio,8,4,4
2207751,Atendido,2008,TELEMAR/PI,Fibra,8,4,4
